tconst	averageRating	numVotes
tt0000001	5.7	2188
tt0000002	5.5	307
tt0000003	6.4	2274
tt0000004	5.1	197
tt0000005	6.2	3012
tt0000006	5.1	222
tt0000007	5.3	934
tt0000008	5.4	2359
tt0000009	5.2	231
tt0000010	6.8	8158
tt0000011	5.2	439
tt0000012	7.4	13788
tt0000013	5.7	2109
tt0000014	7.1	6304
tt0000015	6.1	1304
tt0000016	5.9	1694
tt0000017	4.5	396
tt0000018	5.2	685
tt0000019	4.7	37
tt0000020	4.7	425
tt0000022	5.1	1235
tt0000023	5.7	1625
tt0000024	3.8	177
tt0000025	4.0	55
tt0000026	5.6	1717
tt0000027	5.6	1299
tt0000028	5.1	1236
tt0000029	5.9	3739
tt0000030	5.2	986
tt0000031	5.5	1115
tt0000032	4.9	471
tt0000033	5.5	1159
tt0000034	4.7	264
tt0000035	5.4	92
tt0000036	4.4	678
tt0000037	4.4	83
tt0000038	4.2	242
tt0000039	3.7	41
tt0000040	4.2	85
tt0000041	6.7	2162
tt0000042	4.0	45
tt0000043	3.3	39
tt0000044	4.0	59
tt0000045	3.8	40
tt0000046	4.0	45
tt0000047	3.7	45
tt0000048	4.7	244
tt0000049	4.4	65
tt0000050	3.7	42
tt0000051	3.7	42
tt0000052	4.1	135
tt0000053	2.9	23
tt0000054	4.9	41
tt0000055	3.7	38
tt0000056	3.0	29
tt0000057	4.1	43
tt0000058	3.9	40
tt0000059	3.6	34
tt0000060	6.9	99
tt0000061	4.0	43
tt0000062	6.1	237
tt0000063	3.3	35
tt0000064	3.1	36
tt0000065	3.4	36
tt0000066	3.2	36
tt0000067	5.0	106
tt0000068	3.7	38
tt0000069	4.9	578
tt0000070	6.4	2946
tt0000071	3.3	36
tt0000072	3.3	35
tt0000073	3.3	38
tt0000074	4.3	39
tt0000075	6.3	2206
tt0000076	4.4	607
tt0000077	4.5	42
tt0000078	3.5	122
tt0000079	4.4	43
tt0000080	4.2	38
tt0000081	4.1	39
tt0000082	4.4	58
tt0000083	4.2	40
tt0000084	4.4	37
tt0000085	4.5	40
tt0000086	4.2	40
tt0000087	4.7	43
tt0000088	3.9	40
tt0000089	6.2	1124
tt0000090	3.9	39
tt0000091	6.7	4473
tt0000092	4.5	36
tt0000093	4.5	104
tt0000094	4.3	71
tt0000095	4.7	41
tt0000096	4.1	36
tt0000097	4.6	41
tt0000098	5.1	43
tt0000099	4.5	39
tt0000100	4.6	69
tt0000101	4.3	35
tt0000102	4.4	33
tt0000103	5.0	34
tt0000104	5.5	517
tt0000105	4.9	36
tt0000106	4.4	30
tt0000107	4.9	35
tt0000108	4.4	613
tt0000109	4.5	594
tt0000110	4.4	604
tt0000111	4.5	616
tt0000112	4.5	589
tt0000113	4.4	616
tt0000114	4.9	37
tt0000115	4.8	41
tt0000116	4.8	34
